Date,Open,High,Low,Close,Adj Close,Volume
2022-08-11,9.460000,9.570000,9.410000,9.430000,9.430000,21000
2022-08-12,9.280000,9.390000,9.230000,9.380000,9.380000,157300
2022-08-15,9.270000,9.330000,9.270000,9.320000,9.320000,47800
2022-08-16,9.150000,9.200000,9.060000,9.180000,9.180000,38900
2022-08-17,9.140000,9.290000,9.130000,9.260000,9.260000,54300
2022-08-18,9.150000,9.170000,9.100000,9.120000,9.120000,36800
2022-08-19,8.860000,8.860000,8.720000,8.790000,8.790000,27200
2022-08-22,8.590000,8.590000,8.400000,8.420000,8.420000,49200
2022-08-23,8.400000,8.400000,8.280000,8.310000,8.310000,62700
2022-08-24,8.210000,8.390000,8.210000,8.330000,8.330000,125900
2022-08-25,8.560000,8.610000,8.510000,8.560000,8.560000,57100
2022-08-26,9.080000,9.100000,8.760000,8.760000,8.760000,77500
2022-08-29,8.930000,8.950000,8.810000,8.820000,8.820000,53400
2022-08-30,9.080000,9.090000,9.030000,9.050000,9.050000,131200
2022-08-31,9.220000,9.250000,9.180000,9.190000,9.190000,54100
2022-09-01,8.770000,8.790000,8.660000,8.770000,8.770000,115500
2022-09-02,8.800000,8.970000,8.680000,8.680000,8.680000,100700
2022-09-06,8.550000,10.110000,8.450000,9.000000,9.000000,222400
2022-09-07,7.470000,7.480000,7.110000,7.200000,7.200000,294600
2022-09-08,6.920000,7.170000,6.910000,7.170000,7.170000,126100
2022-09-09,7.350000,7.410000,7.270000,7.310000,7.310000,79100
2022-09-12,7.550000,7.590000,7.510000,7.530000,7.530000,225000
2022-09-13,7.320000,7.320000,7.040000,7.040000,7.040000,139300
2022-09-14,7.060000,7.080000,6.990000,7.020000,7.020000,387700
2022-09-15,6.870000,6.970000,6.800000,6.820000,6.820000,74500
2022-09-16,6.770000,6.840000,6.750000,6.810000,6.810000,86800
2022-09-19,6.660000,6.710000,6.610000,6.710000,6.710000,237400
2022-09-20,6.650000,6.680000,6.530000,6.580000,6.580000,252700
2022-09-21,6.440000,6.450000,6.320000,6.350000,6.350000,116400
2022-09-22,6.100000,6.130000,5.940000,5.970000,5.970000,144300
2022-09-23,5.870000,5.920000,5.730000,5.900000,5.900000,118900
2022-09-26,5.890000,5.970000,5.820000,5.860000,5.860000,77800
2022-09-27,5.930000,6.070000,5.930000,5.960000,5.960000,281700
2022-09-28,5.840000,6.060000,5.820000,5.980000,5.980000,116800
2022-09-29,5.680000,5.700000,5.480000,5.500000,5.500000,173800
2022-09-30,5.460000,5.520000,5.420000,5.420000,5.420000,113400
2022-10-03,5.600000,5.630000,5.560000,5.590000,5.590000,66000
2022-10-04,5.790000,5.850000,5.780000,5.830000,5.830000,274800
2022-10-05,5.550000,5.590000,5.500000,5.550000,5.550000,53100
2022-10-06,5.590000,5.610000,5.480000,5.480000,5.480000,913600
2022-10-07,5.460000,5.520000,5.370000,5.400000,5.400000,708600
2022-10-10,5.520000,5.520000,5.410000,5.470000,5.470000,160300
2022-10-11,5.380000,5.380000,5.230000,5.240000,5.240000,885100
2022-10-12,5.110000,5.110000,5.020000,5.060000,5.060000,67900
2022-10-13,4.940000,5.190000,4.900000,5.140000,5.140000,118000
